Subprefecture,Neighborhood,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone
Aricanduva,Aricanduva,11.64,24.95,28.47,13.72,13.33,7.88,East
Aricanduva,Carrão,9.18,18.17,25.82,14.91,16.35,15.58,East
Aricanduva,Vila Formosa,8.1,20.08,28.69,13.91,13.08,16.14,East
Butantã,Butantã,4.93,10.6,16.23,12.1,18.25,37.88,West
Butantã,Morumbi,4.0,9.05,10.76,5.67,9.95,60.58,West
Butantã,Raposo Tavares,12.73,27.95,29.05,12.5,10.54,7.24,West
Butantã,Rio Pequeno,11.8,22.0,22.77,12.38,13.08,17.96,West
Butantã,Vila Sônia,9.58,16.05,20.05,11.28,13.96,29.07,West
Campo Limpo,Campo Limpo,16.07,28.25,28.71,11.26,9.96,5.76,South
Campo Limpo,Capão Redondo,18.3,32.8,29.82,9.36,6.5,3.22,South
Campo Limpo,Vila Andrade,14.15,25.13,17.41,5.5,6.37,31.44,South
Capela do Socorro,Cidade Dutra,15.3,27.1,29.26,12.03,9.64,6.67,South
Capela do Socorro,Grajaú,22.92,35.87,28.21,7.55,4.08,1.38,South
Capela do Socorro,Socorro,8.65,13.72,24.01,12.82,17.58,23.22,South
Casa Verde,Cachoeirinha,15.74,29.57,28.54,11.17,9.35,5.62,North
Casa Verde,Casa Verde,8.51,19.05,28.32,13.74,14.49,15.9,North
Casa Verde,Limão,11.3,24.8,25.49,14.25,13.54,10.62,North
Cidade Ademar,Cidade Ademar,16.73,28.46,28.84,10.73,8.66,6.58,South
Cidade Ademar,Pedreira,21.24,32.7,28.57,8.86,5.6,3.03,South
Cidade Tiradentes,Cidade Tiradentes,20.47,36.92,31.23,7.53,3.08,0.76,East
Ermelino Matarazzo,Ermelino Matarazzo,15.73,31.16,28.99,11.12,9.04,3.97,East
Ermelino Matarazzo,Ponte Rasa,11.81,23.99,30.66,13.89,12.35,7.3,East
Freguesia do Ó,Brasilândia,19.87,34.23,28.27,9.15,5.99,2.49,North
Freguesia do Ó,Freguesia do Ó,11.2,21.92,28.19,13.88,14.04,10.78,North
Guaianases,Lajeado,24.67,38.67,25.8,6.66,3.07,1.13,East
Guaianases,Guaianases,19.76,35.7,29.17,8.62,5.19,1.56,East
Ipiranga,Cursino,8.17,16.65,24.17,13.86,15.21,21.93,South
Ipiranga,Ipiranga,9.68,20.11,23.56,13.37,14.64,18.64,South
Ipiranga,Sacomã,12.16,23.27,28.38,12.81,12.92,10.47,South
Itaim Paulista,Itaim Paulista,22.99,37.29,26.86,7.2,4.13,1.54,East
Itaim Paulista,Vila Curuçá,22.61,34.37,27.32,8.68,4.74,2.28,East
Itaquera,Cidade Líder,14.03,26.7,30.78,13.63,9.14,5.72,East
Itaquera,Itaquera,17.5,29.22,29.28,11.11,8.62,4.28,East
Itaquera,José Bonifácio,13.76,25.52,32.0,15.65,10.07,3.0,East
Itaquera,Parque do Carmo,16.08,29.07,30.8,11.41,8.25,4.39,East
Jabaquara,Jabaquara,10.27,20.27,24.48,13.51,13.56,17.91,South
Jaçanã,Jaçanã,12.37,25.74,28.58,12.99,12.29,8.02,North
Jaçanã,Tremembé,13.14,27.78,28.3,11.43,9.74,9.62,North
Lapa,Barra Funda,6.66,11.23,23.98,12.87,14.22,31.04,West
Lapa,Jaguara,9.64,21.17,30.03,14.78,14.51,9.88,West
Lapa,Jaguaré,12.37,22.34,24.14,9.63,14.54,16.99,West
Lapa,Lapa,4.89,11.86,20.15,12.25,17.97,32.87,West
Lapa,Perdizes,2.7,5.45,12.84,10.72,17.47,50.83,West
Lapa,Vila Leopoldina,5.15,19.06,16.64,9.59,15.95,33.61,West
M'Boi Mirim,Jardim Ângela,22.18,38.05,27.82,6.83,3.82,1.29,South
M'Boi Mirim,Jardim São Luís,16.16,31.76,30.08,10.26,7.85,3.89,South
Mooca,Água Rasa,8.33,17.31,26.6,14.01,15.96,17.78,East
