Subprefecture,Neighborhood,Latitude,Longitude,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone
Aricanduva,Aricanduva,-23.5780239,-46.511454,11.64,24.95,28.47,13.72,13.33,7.88,East
Aricanduva,Carrão,-23.5515305,-46.537790768940425,9.18,18.17,25.82,14.91,16.35,15.58,East
Aricanduva,Vila Formosa,-23.5668764,-46.5463233,8.1,20.08,28.69,13.91,13.08,16.14,East
Butantã,Butantã,-23.5690555,-46.7218833626702,4.93,10.6,16.23,12.1,18.25,37.88,West
Butantã,Morumbi,-23.5964988,-46.7178446,4.0,9.05,10.76,5.67,9.95,60.58,West
Butantã,Raposo Tavares,-23.59161035,-46.78035945303711,12.73,27.95,29.05,12.5,10.54,7.24,West
Butantã,Rio Pequeno,-23.5685049,-46.75685697298139,11.8,22.0,22.77,12.38,13.08,17.96,West
Butantã,Vila Sônia,-23.5997714,-46.739201030849614,9.58,16.05,20.05,11.28,13.96,29.07,West
Campo Limpo,Campo Limpo,-23.632557650000003,-46.759666126372395,16.07,28.25,28.71,11.26,9.96,5.76,South
Campo Limpo,Capão Redondo,-23.6719026,-46.779435420915036,18.3,32.8,29.82,9.36,6.5,3.22,South
Campo Limpo,Vila Andrade,-23.625687,-46.7269894,14.15,25.13,17.41,5.5,6.37,31.44,South
Capela do Socorro,Cidade Dutra,-23.7139643,-46.6990882,15.3,27.1,29.26,12.03,9.64,6.67,South
Capela do Socorro,Grajaú,-23.78590725,-46.66519713060974,22.92,35.87,28.21,7.55,4.08,1.38,South
Capela do Socorro,Socorro,-23.668885,-46.718615,8.65,13.72,24.01,12.82,17.58,23.22,South
Casa Verde,Cachoeirinha,-23.449511450000003,-46.66366119497354,15.74,29.57,28.54,11.17,9.35,5.62,North
Casa Verde,Casa Verde,-23.5059269,-46.6561379,8.51,19.05,28.32,13.74,14.49,15.9,North
Casa Verde,Limão,-23.5033149,-46.6752722,11.3,24.8,25.49,14.25,13.54,10.62,North
Cidade Ademar,Cidade Ademar,-23.6730116,-46.6552806,16.73,28.46,28.84,10.73,8.66,6.58,South
Cidade Ademar,Pedreira,-23.696144,-46.637628,21.24,32.7,28.57,8.86,5.6,3.03,South
Cidade Tiradentes,Cidade Tiradentes,-23.5824973,-46.4092065,20.47,36.92,31.23,7.53,3.08,0.76,East
Ermelino Matarazzo,Ermelino Matarazzo,-23.491673499999997,-46.48407014366894,15.73,31.16,28.99,11.12,9.04,3.97,East
Ermelino Matarazzo,Ponte Rasa,-23.5110455,-46.4870517,11.81,23.99,30.66,13.89,12.35,7.3,East
